id,ruta,lon,lat
390,SANTAMARIA,-100.429418,20.590007462
391,SANTAMARIA,-100.425518,20.589296854
392,SANTAMARIA,-100.4203332,20.588113863
393,SANTAMARIA,-100.4154896,20.586876549
394,SANTAMARIA,-100.4125624,20.586203784
395,SANTAMARIA,-100.4120775,20.586464417
396,SANTAMARIA,-100.41052,20.584923542
397,SANTAMARIA,-100.4070883,20.581711283
398,SANTAMARIA,-100.4051912,20.584065415
399,SANTAMARIA,-100.4046026,20.584233040
400,SANTAMARIA,-100.4038354,20.583990543
401,SANTAMARIA,-100.4024446,20.584602818
402,SANTAMARIA,-100.4015737,20.584966905
403,SANTAMARIA,-100.3999916,20.585503983
404,SANTAMARIA,-100.395707,20.586980964
405,SANTAMARIA,-100.3908911,20.588584754
406,SANTAMARIA,-100.3870011,20.589904570
407,SANTAMARIA,-100.3832713,20.591235348
408,SANTAMARIA,-100.3797589,20.591548493
409,SANTAMARIA,-100.3787774,20.592004155
410,SANTAMARIA,-100.3780485,20.592553985
411,SANTAMARIA,-100.3767977,20.591163101
412,SANTAMARIA,-100.3765272,20.590621633
413,SANTAMARIA,-100.3760352,20.590355091
414,SANTAMARIA,-100.3753953,20.587692320
415,SANTAMARIA,-100.3747309,20.585594769
416,SANTAMARIA,-100.37454,20.584158294
417,SANTAMARIA,-100.3742241,20.581139805
418,SANTAMARIA,-100.3741033,20.579304453
419,SANTAMARIA,-100.3741428,20.578923943
420,SANTAMARIA,-100.3741333,20.577506982
421,SANTAMARIA,-100.3708597,20.578237059
422,SANTAMARIA,-100.3667249,20.579985629
423,SANTAMARIA,-100.3634359,20.580592879
424,SANTAMARIA,-100.3617701,20.579880788
425,SANTAMARIA,-100.3614942,20.578472945
